ticker,company_name,data_available,has_extract_adapter
5939,大谷工業,True,True
5940,不二サッシ,False,True
5941,中西製作所,True,True
5952,アマテイ,True,True
5958,三洋工,False,True
5962,浅香工業,False,True
5973,トーアミ,True,True
6013,タクマ,True,True
6016,ジャパンエンジン,True,True
6018,阪神内燃機工業,True,True
6022,赤阪鉄,True,True
6023,ダイハツインフィ,True,True
6027,弁護士ドットコム,False,True
6031,Ｇ－ＺＥＴＡ,False,True
6035,ＩＲＪａｐａｎ　ＨＤ,False,True
6037,楽待,False,True
6044,三機サービス,False,True
6069,Ｇ－Ｔｒｅｎｄｓ,False,True
6070,キャリアリンク,True,True
6071,ＩＢＪ,False,True
6078,バリューＨＲ,False,True
6080,Ｍ＆Ａキャピタル,False,True
6085,Ｇ－アーキテクツＳＪ,False,True
6090,ＨＭＴ,True,True
6091,ウエスコＨＤ,True,True
6092,エンバイオＨＤ,True,True
6093,エスクローＡＪ,False,True
6096,レアジョブ,False,True
6101,ツガミ,True,True
6103,オークマ,True,True
6104,芝浦機械,True,True
6113,アマダ,True,True
6118,アイダ,True,True
6125,岡本工機,True,True
6134,ＦＵＪＩ,True,True
6135,牧野フライス,True,True
6137,小池酸工,True,True
6138,ダイジェット,True,True
6141,ＤＭＧ森精機,True,True
6142,富士精工,False,True
6143,ソディック,False,True
6144,西部電機,True,True
6145,ＮＩＴＴＯＫＵ,True,True
6149,小田原エン,True,True
6151,日東工器,False,True
6155,高松機械,True,True
6156,エーワン精密,False,True
6164,太陽工機,True,True
6171,土木管理総合試験所,False,True
6181,Ｇ－タメニー,False,True
6182,Ｇ－メタリアル,True,True
6184,鎌倉新書,False,True
6186,一蔵,True,True
6190,Ｇ－ＰＸＢ,True,True
6191,エアトリ,False,True
6195,Ｇ－ホープ,False,True
6196,ストライク,False,True
6197,ソラスト,False,True
6199,セラク,False,True
6203,豊和工,True,True
6208,石川製,True,True
6210,ＴＯＹＯイノベックス,True,True
6217,津田駒工,True,True
6222,島精機,True,True
6223,西部技研,False,True
6224,Ｇ－ＪＲＣ,True,True
6225,エコム,True,True
6226,守谷輸送機工業,True,True
6227,ＡＩメカテック,True,True
6228,ジェイ・イー・ティ,False,True
6229,オーケーエム,True,True
6231,木村工機,False,True
6232,Ｇ－ＡＣＳＬ,False,True
6233,ＫＬＡＳＳ,True,True
6235,オプトラン,True,True
6239,ナガオカ,True,True
6240,ヤマシンフィルタ,True,True
6245,ヒラノテクシード,True,True
6246,テクノスマート,True,True
6247,日阪製作,True,True
6248,横田製作所,True,True
6254,野村マイクロ,True,True
6255,Ｇ－ＮＰＣ,True,True
6258,平田機工,True,True
6264,マルマエ,False,True
6266,タツモ,True,True
6267,ゼネパッカー,False,True
6268,ナブテスコ,True,True
6269,三井海洋,True,True
6272,レオン自機,True,True
6273,ＳＭＣ,False,True
6277,ホソカワミクロン,True,True
6279,瑞光,True,True
6282,オイレス工,True,True
6284,ＡＳＢ機械,True,True
6286,靜甲,False,True
6291,エアーテック,False,True
6292,カワタ,True,True
6294,オカダアイヨン,True,True
6297,鉱研工業,True,True
6298,ワイエイシイＨＤ,True,True
6301,コマツ,False,True
6302,住友重,True,True
6306,日工,True,True
6307,サンセイ,True,True
6312,フロイント,True,True
6315,ＴＯＷＡ,True,True
6319,シンニッタン,False,True
6322,タクミナ,True,True
6323,ローツェ,True,True
6324,ハーモニック,True,True
6327,北川精機,False,True
6328,荏原実業,True,True
6330,洋エンジ,True,True
6331,菱化工機,True,True
6332,月島ＨＤ,True,True
6334,明治機,False,True
6335,東京機,False,True
6337,テセック,True,True
6338,タカトリ,True,True
6339,新東工,True,True
6340,渋谷工,True,True
6342,太平製作所,False,True
6347,プラコー,True,True
6349,小森,True,True
6356,日ギア,True,True
6361,荏原製,True,True
6362,石井鉄,True,True
6363,酉島製,True,True
6365,電業社,True,True
6366,千代化建,True,True
6368,オルガノ,True,True
6369,トーヨーカネツ,True,True
6370,栗田工,True,True
6371,椿本チエイン,True,True
6373,大同工,False,True
6376,日機装,True,True
6378,木村化工,True,True
6379,レイズネクスト,True,True
6381,アネスト岩田,True,True
6383,ダイフク,True,True
6384,昭和真空,True,True
6387,サムコ,True,True
6395,タダノ,True,True
6400,不二精機,True,True
6402,兼松エンジニア,True,True
6403,水道機工,True,True
6406,フジテック,False,True
6407,ＣＫＤ,True,True
6417,ＳＡＮＫＹＯ,True,True
6425,ユニバーサル,False,True
6432,竹内製作所,True,True
6448,ブラザー,False,True
6454,マックス,False,True
6455,モリタＨＤ,True,True
6457,グローリー,False,True
6458,新晃工業,True,True
6460,セガサミーＨＤ,False,True
6466,ＴＶＥ,True,True
6467,ニチダイ,True,True
