TICKER,COMPANY_NAME,GAP_TYPE,DETAIL
2659,(株)サンエー,D,GCS月次PDFなし（ダウンロード不備）
2664,(株)カワチ薬品,B,BQ有・月次カテゴリなし（決算短信）
2668,タビオ,B,BQ有・月次カテゴリなし（自己株式取得）
2669,カネ美食品,B,"BQ有・月次カテゴリなし（役員異動（代表クラス）, その他（未分類））"
2670,(株)エービーシー・マート,B,BQ有・月次カテゴリなし（その他（未分類））
2674,(株)ハードオフコーポレーション,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類））"
2675,,D,GCS月次PDFなし（ダウンロード不備）
2678,アスクル,D,GCS月次PDFなし（ダウンロード不備）
2686,(株)ジーフット,B,"BQ有・月次カテゴリなし（業績予想, 特別利益）"
2687,(株)シー・ヴイ・エス・ベイエリア,D,GCS月次PDFなし（ダウンロード不備）
2695,くら寿司,B,"BQ有・月次カテゴリなし（決算短信, 株式分割・併合, 株主優待）"
2698,(株)キャンドゥ,B,BQ有・月次カテゴリなし（業績予想）
2702,日本マクドナルドホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
2726,(株)パルグループホールディングス,D,GCS月次PDFなし（ダウンロード不備）
2730,(株)エディオン,B,BQ有・月次カテゴリなし（決算短信）
2742,(株)ハローズ,B,BQ有・月次カテゴリなし（主要株主異動）
2751,(株)テンポスホールディングス,D,GCS月次PDFなし（ダウンロード不備）
2752,(株)フジオフードグループ本社,B,"BQ有・月次カテゴリなし（決算短信, 特別損益計上, 特別損失, 配当）"
2753,(株)あみやき亭,D,GCS月次PDFなし（ダウンロード不備）
2769,(株)ヴィレッジヴァンガードコーポレーション,D,GCS月次PDFなし（ダウンロード不備）
2789,(株)カルラ,B,BQ有・月次カテゴリなし（その他（未分類））
2790,(株)ナフコ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
2791,大黒天物産,D,GCS月次PDFなし（ダウンロード不備）
2792,(株)ハニーズホールディングス,B,BQ有・月次カテゴリなし（決算短信）
2818,(株)ピエトロ,B,"BQ有・月次カテゴリなし（決算短信, 特別利益, 業績修正, 特別損失, 大型受注・契約）"
2910,(株)ロック・フィールド,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
2914,ＪＴ,D,GCS月次PDFなし（ダウンロード不備）
2998,クリアル,B,"BQ有・月次カテゴリなし（決算説明資料, その他（未分類）, 決算短信, 資産売却（不動産））"
3010,ポラリス・ホールディングス,B,"BQ有・月次カテゴリなし（その他（未分類）, 決算説明資料, 決算短信, 大型受注・契約, 株主優待）"
3028,(株)アルペン,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 株主優待）"
3030,(株)ハブ,D,GCS月次PDFなし（ダウンロード不備）
3032,,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類）, 立会外分売, 株主優待）"
3034,クオールホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
3041,(株)ビューティカダンホールディングス,B,BQ有・月次カテゴリなし（決算短信）
3045,(株)カワサキ,D,GCS月次PDFなし（ダウンロード不備）
3048,(株)ビックカメラ,D,GCS月次PDFなし（ダウンロード不備）
3050,ＤＣＭホールディングス,B,BQ有・月次カテゴリなし（自己株式取得）
3053,(株)ペッパーフードサービス,B,"BQ有・月次カテゴリなし（中期経営計画, 決算短信, その他（未分類）, 株主優待, 業績予想）"
3057,,D,GCS月次PDFなし（ダウンロード不備）
3068,(株)ＷＤＩ,B,"BQ有・月次カテゴリなし（決算短信, 主要株主異動）"
3069,(株)ＪＦＬＡホールディングス,B,BQ有・月次カテゴリなし（決算短信）
3070,(株)ジェリービーンズグループ,B,"BQ有・月次カテゴリなし（決算説明資料, その他（未分類）, 子会社設立, 受注・契約, 大型受注・契約, 新株予約権発行, 提携・協業, 業績修正, 監査人異動, 合併・組織再編, 特別損失）"
3080,(株)ジェーソン,B,BQ有・月次カテゴリなし（その他（未分類））
3083,スターシーズ,B,"BQ有・月次カテゴリなし（その他（未分類）, 資産売却（不動産）, 提携・協業）"
3085,,D,GCS月次PDFなし（ダウンロード不備）
3086,Ｊ．フロント リテイリング,B,BQ有・月次カテゴリなし（その他（未分類））
3087,(株)ドトール・日レスホールディングス,D,GCS月次PDFなし（ダウンロード不備）
