pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_9432_4495,9432,ＮＴＴ,4495,株式会社アイキューブドシステムズ,direct,株式会社アイキューブドシステムズの売上46.0%がＮＴＴに依存,46.0,,,edinet_yuho_2025
D_5857_4507,5857,ＡＲＥホールディングス,4507,塩野義製薬株式会社,direct,塩野義製薬株式会社の売上54.9%がＡＲＥホールディングスに依存,54.9,,,edinet_yuho_2025
D_7203_4619,7203,トヨタ自動車,4619,日本特殊塗料株式会社,direct,日本特殊塗料株式会社の売上14.7%がトヨタ自動車に依存,14.7,,,edinet_yuho_2025
D_1861_4657,1861,熊谷組,4657,株式会社  環境管理センター,direct,株式会社  環境管理センターの売上19.7%が熊谷組に依存,19.7,,,edinet_yuho_2025
D_8056_4752,8056,ＢＩＰＲＯＧＹ,4752,株式会社 昭和システムエンジニアリング,direct,株式会社 昭和システムエンジニアリングの売上11.6%がＢＩＰＲＯＧＹに依存,11.6,,,edinet_yuho_2025
D_7860_4772,7860,エイベックス,4772,株式会社ストリームメディアコーポレーション,direct,株式会社ストリームメディアコーポレーションの売上26.9%がエイベックスに依存,26.9,,,edinet_yuho_2025
D_441A_4772,441A,ＮＥ,4772,株式会社ストリームメディアコーポレーション,direct,株式会社ストリームメディアコーポレーションの売上12.2%がＮＥに依存,12.2,,,edinet_yuho_2025
D_441A_4777,441A,ＮＥ,4777,株式会社ガーラ,direct,株式会社ガーラの売上49.7%がＮＥに依存,49.7,,,edinet_yuho_2025
D_2722_4840,2722,ＩＫホールディングス,4840,株式会社トライアイズ,direct,株式会社トライアイズの売上29.2%がＩＫホールディングスに依存,29.2,,,edinet_yuho_2025
D_5101_4957,5101,横浜ゴム,4957,ヤスハラケミカル株式会社,direct,ヤスハラケミカル株式会社の売上10.3%が横浜ゴムに依存,10.3,,,edinet_yuho_2025
D_3116_5026,3116,トヨタ紡織,5026,株式会社トリプルアイズ,direct,株式会社トリプルアイズの売上13.4%がトヨタ紡織に依存,13.4,,,edinet_yuho_2025
D_141A_5034,141A,トライアルホールディングス,5034,株式会社unerry,direct,株式会社unerryの売上10.3%がトライアルホールディングスに依存,10.3,,,edinet_yuho_2025
D_3286_5132,3286,トラストホールディングス,5132,株式会社ｐｌｕｓｚｅｒｏ,direct,株式会社ｐｌｕｓｚｅｒｏの売上10.2%がトラストホールディングスに依存,10.2,,,edinet_yuho_2025
D_4234_5216,4234,サンエー化研,5216,株式会社倉元製作所,direct,株式会社倉元製作所の売上24.9%がサンエー化研に依存,24.9,,,edinet_yuho_2025
D_7911_5216,7911,ＴＯＰＰＡＮホールディングス,5216,株式会社倉元製作所,direct,株式会社倉元製作所の売上20.2%がＴＯＰＰＡＮホールディングスに依存,20.2,,,edinet_yuho_2025
D_AAPL_5244,AAPL,Apple,5244,株式会社jig.jp,direct,株式会社jig.jpの売上20.12%がAppleに依存,20.12,,,edinet_yuho_2025
D_GOOGL_5244,GOOGL,Google,5244,株式会社jig.jp,direct,株式会社jig.jpの売上13.56%がGoogleに依存,13.56,,,edinet_yuho_2025
D_1799_5280,1799,第一建設工業,5280,ヨシコン株式会社,direct,ヨシコン株式会社の売上12.8%が第一建設工業に依存,12.8,,,edinet_yuho_2025
D_7994_5280,7994,オカムラ,5280,ヨシコン株式会社,direct,ヨシコン株式会社の売上15.3%がオカムラに依存,15.3,,,edinet_yuho_2025
D_217A_5341,217A,サポート,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス株式会社,direct,ＡＳＡＨＩ　ＥＩＴＯホールディングス株式会社の売上18.4%がサポートに依存,18.4,,,edinet_yuho_2025
D_8002_5446,8002,丸紅,5446,北越メタル株式会社,direct,北越メタル株式会社の売上39.6%が丸紅に依存,39.6,,,edinet_yuho_2025
D_8078_5446,8078,阪和興業,5446,北越メタル株式会社,direct,北越メタル株式会社の売上10.9%が阪和興業に依存,10.9,,,edinet_yuho_2025
D_1786_5609,1786,オリエンタル白石,5609,日本鋳造株式会社,direct,日本鋳造株式会社の売上12.2%がオリエンタル白石に依存,12.2,,,edinet_yuho_2025
D_8031_5857,8031,三井物産,5857,ＡＲＥホールディングス株式会社,direct,ＡＲＥホールディングス株式会社の売上32.5%が三井物産に依存,32.5,,,edinet_yuho_2025
D_1928_5928,1928,積水ハウス,5928,アルメタックス株式会社,direct,アルメタックス株式会社の売上51.4%が積水ハウスに依存,51.4,,,edinet_yuho_2025
D_7857_5928,7857,セキ,5928,アルメタックス株式会社,direct,アルメタックス株式会社の売上10.7%がセキに依存,10.7,,,edinet_yuho_2025
D_7267_5970,7267,本田技研工業,5970,株式会社ジーテクト,direct,プレス部品,12.7,,,edinet_yuho_2025
D_6083_5970,6083,ＥＲＩホールディングス,5970,株式会社ジーテクト,direct,株式会社ジーテクトの売上10.9%がＥＲＩホールディングスに依存,10.9,,,edinet_yuho_2025
D_4769_5970,4769,ＩＣ,5970,株式会社ジーテクト,direct,株式会社ジーテクトの売上13.4%がＩＣに依存,13.4,,,edinet_yuho_2025
D_9433_6047,9433,ＫＤＤＩ,6047,株式会社Gunosy,direct,株式会社Gunosyの売上17.2%がＫＤＤＩに依存,17.2,,,edinet_yuho_2025
D_441A_6047,441A,ＮＥ,6047,株式会社Gunosy,direct,株式会社Gunosyの売上14.0%がＮＥに依存,14.0,,,edinet_yuho_2025
D_GOOGL_6047,GOOGL,Google,6047,株式会社Gunosy,direct,株式会社Gunosyの売上11.0%がGoogleに依存,11.0,,,edinet_yuho_2025
D_4452_6069,4452,花王,6069,トレンダーズ株式会社,direct,トレンダーズ株式会社の売上10.3%が花王に依存,10.3,,,edinet_yuho_2025
D_3182_6081,3182,オイシックス・ラ・大地,6081,アライドアーキテクツ株式会社,direct,アライドアーキテクツ株式会社の売上18.4%がオイシックス・ラ・大地に依存,18.4,,,edinet_yuho_2025
D_8029_6081,8029,ルックホールディングス,6081,アライドアーキテクツ株式会社,direct,アライドアーキテクツ株式会社の売上10.5%がルックホールディングスに依存,10.5,,,edinet_yuho_2025
D_1443_6125,1443,技研ホールディングス,6125,株式会社岡本工作機械製作所,direct,株式会社岡本工作機械製作所の売上12.0%が技研ホールディングスに依存,12.0,,,edinet_yuho_2025
D_6954_6125,6954,ファナック,6125,株式会社岡本工作機械製作所,direct,株式会社岡本工作機械製作所の売上10.4%がファナックに依存,10.4,,,edinet_yuho_2025
D_5991_6264,5991,日本発条,6264,株式会社マルマエ,direct,株式会社マルマエの売上25.4%が日本発条に依存,25.4,,,edinet_yuho_2025
D_8035_6264,8035,東京エレクトロン,6264,株式会社マルマエ,direct,株式会社マルマエの売上14.8%が東京エレクトロンに依存,14.8,,,edinet_yuho_2025
D_8113_6279,8113,ユニ・チャーム,6279,株式会社瑞光,direct,株式会社瑞光の売上13.7%がユニ・チャームに依存,13.7,,,edinet_yuho_2025
D_3076_6334,3076,あい　ホールディングス,6334,明治機械株式会社,direct,明治機械株式会社の売上23.9%があい　ホールディングスに依存,23.9,,,edinet_yuho_2025
D_1798_6365,1798,守谷商会,6365,株式会社電業社機械製作所,direct,株式会社電業社機械製作所の売上11.0%が守谷商会に依存,11.0,,,edinet_yuho_2025
D_7203_6494,7203,トヨタ自動車,6494,株式会社ＮＦＫホールディングス,direct,株式会社ＮＦＫホールディングスの売上21.3%がトヨタ自動車に依存,21.3,,,edinet_yuho_2025
D_4551_6568,4551,鳥居薬品,6568,神戸天然物化学株式会社,direct,神戸天然物化学株式会社の売上13.0%が鳥居薬品に依存,13.0,,,edinet_yuho_2025
D_7280_6612,7280,ミツバ,6612,バルミューダ株式会社,direct,バルミューダ株式会社の売上10.4%がミツバに依存,10.4,,,edinet_yuho_2025
D_6201_6615,6201,豊田自動織機,6615,ユー・エム・シー・エレクトロニクス株式会社,direct,ユー・エム・シー・エレクトロニクス株式会社の売上32.9%が豊田自動織機に依存,32.9,,,edinet_yuho_2025
